----------------------------------------------------------------------------------
Inicio
2019-04-30 12:21:29 PM
 TOTAL DE REGISTROS 345
workzone ZIPCODE|ESTADO|PAIS|WORK_ZONE_NAME|LABEL|
workzone 210601|active|DO|SAN CRISTOBAL, YAGUATE, C.P. 210601|DO210601|
workzone 210504|active|DO|SAN CRISTOBAL, LA CUCHILLA, C.P. 210504|DO210504|
workzone 210503|active|DO|SAN CRISTOBAL, MEDINA, C.P. 210503|DO210503|
workzone 210502|active|DO|SAN CRISTOBAL, SAN JOSE DEL PUERTO, C.P. 210502|DO210502|
workzone 210501|active|DO|SAN CRISTOBAL, VILLA ALTAGRACIA, C.P. 210501|DO210501|
workzone 210402|active|DO|SAN CRISTOBAL, CAMBITA EL PUEBLECITO, C.P. 210402|DO210402|
workzone 210401|active|DO|SAN CRISTOBAL, CAMBITA GARABITOS, C.P. 210401|DO210401|
workzone 210302|active|DO|SAN CRISTOBAL, EL CARRIL, C.P. 210302|DO210302|
workzone 210301|active|DO|SAN CRISTOBAL, BAJOS DE HAINA, C.P. 210301|DO210301|
workzone 210201|active|DO|SAN CRISTOBAL, SABANA GRANDE DE PALENQUE, C.P. 210201|DO210201|
workzone 210102|active|DO|SAN CRISTOBAL, HATO DAMAS, C.P. 210102|DO210102|
workzone 210101|active|DO|SAN CRISTOBAL, SAN CRISTOBAL, C.P. 210101|DO210101|
workzone 200301|active|DO|SAMANA, LAS TERRENAS, C.P. 200301|DO200301|
workzone 200201|active|DO|SAMANA, SANCHEZ, C.P. 200201|DO200201|
workzone 200104|active|DO|SAMANA, LAS GALERAS, C.P. 200104|DO200104|
workzone 200103|active|DO|SAMANA, ARROYO BARRIL, C.P. 200103|DO200103|
workzone 200102|active|DO|SAMANA, EL LIMON, C.P. 200102|DO200102|
workzone 200101|active|DO|SAMANA, SAMANA, C.P. 200101|DO200101|
workzone 190301|active|DO|SALCEDO, VILLA TAPIA, C.P. 190301|DO190301|
workzone 190202|active|DO|SALCEDO, BLANCO, C.P. 190202|DO190202|
workzone 190201|active|DO|SALCEDO, TENARES, C.P. 190201|DO190201|
workzone 190102|active|DO|SALCEDO, JAMAO AFUERA, C.P. 190102|DO190102|
workzone 190101|active|DO|SALCEDO, SALCEDO, C.P. 190101|DO190101|
workzone 180804|active|DO|PUERTO PLATA, VILLA ISABELA, C.P. 180804|DO180804|
workzone 180803|active|DO|PUERTO PLATA, LA JAIBA, C.P. 180803|DO180803|
workzone 180802|active|DO|PUERTO PLATA, ESTERO HONDO, C.P. 180802|DO180802|
workzone 180801|active|DO|PUERTO PLATA, VILLA ISABELA, C.P. 180801|DO180801|
workzone 180703|active|DO|PUERTO PLATA, SABANETA DE YASICA, C.P. 180703|DO180703|
workzone 180702|active|DO|PUERTO PLATA, CABARETE, C.P. 180702|DO180702|
workzone 180701|active|DO|PUERTO PLATA, SOSUA, C.P. 180701|DO180701|
workzone 180603|active|DO|PUERTO PLATA, BELLOSO, C.P. 180603|DO180603|
workzone 180602|active|DO|PUERTO PLATA, LA ISABELA, C.P. 180602|DO180602|
workzone 180601|active|DO|PUERTO PLATA, VILLA ISABELA, C.P. 180601|DO180601|
workzone 180502|active|DO|PUERTO PLATA, NAVAS (D.M), C.P. 180502|DO180502|
workzone 180501|active|DO|PUERTO PLATA, LOS HIDALGOS, C.P. 180501|DO180501|
workzone 180401|active|DO|PUERTO PLATA, IMBERT, C.P. 180401|DO180401|
workzone 180301|active|DO|PUERTO PLATA, GUANANICO, C.P. 180301|DO180301|
workzone 180201|active|DO|PUERTO PLATA, ALTAMIRA, C.P. 180201|DO180201|
workzone 180103|active|DO|PUERTO PLATA, YASICA ARRIBA, C.P. 180103|DO180103|
workzone 180102|active|DO|PUERTO PLATA, VILLA MONTELLANO, C.P. 180102|DO180102|
workzone 180101|active|DO|PUERTO PLATA, PUERTO PLATA, C.P. 180101|DO180101|
workzone 170203|active|DO|PERAVIA, SANTANA, C.P. 170203|DO170203|
workzone 170202|active|DO|PERAVIA, PIZARRETE, C.P. 170202|DO170202|
workzone 170201|active|DO|PERAVIA, NIZAO, C.P. 170201|DO170201|
workzone 170108|active|DO|PERAVIA, CATALINA, C.P. 170108|DO170108|
