----------------------------------------------------------------------------------
Inicio
2019-04-29 2:45:42 PM
 TOTAL DE REGISTROS 596
workzone ZIPCODE|ESTADO|PAIS|WORK_ZONE_NAME|Label|
workzone 70305|active|CR|LIMON, SIQUIRRES, C.P. 70305|CR70305|
workzone 70306|active|CR|LIMON, SIQUIRRES, C.P. 70306|CR70306|
workzone 11303|active|CR|SAN JOSE, TIBAS, C.P. 11303|CR11303|
workzone 30803|active|CR|CARTAGO, EL GUARCO, C.P. 30803|CR30803|
workzone 70401|active|CR|LIMON, TALAMANCA, C.P. 70401|CR70401|
workzone 70402|active|CR|LIMON, TALAMANCA, C.P. 70402|CR70402|
workzone 11304|active|CR|SAN JOSE, TIBAS, C.P. 11304|CR11304|
workzone 30804|active|CR|CARTAGO, EL GUARCO, C.P. 30804|CR30804|
workzone 70403|active|CR|LIMON, TALAMANCA, C.P. 70403|CR70403|
workzone 70404|active|CR|LIMON, TALAMANCA, C.P. 70404|CR70404|
workzone 11305|active|CR|SAN JOSE, TIBAS, C.P. 11305|CR11305|
workzone 40101|active|CR|HEREDIA, HEREDIA, C.P. 40101|CR40101|
workzone 70501|active|CR|LIMON, MATINA, C.P. 70501|CR70501|
workzone 70502|active|CR|LIMON, MATINA, C.P. 70502|CR70502|
workzone 11401|active|CR|SAN JOSE, MORAVIA, C.P. 11401|CR11401|
workzone 40102|active|CR|HEREDIA, HEREDIA, C.P. 40102|CR40102|
workzone 70503|active|CR|LIMON, MATINA, C.P. 70503|CR70503|
workzone 70601|active|CR|LIMON, GUACIMO, C.P. 70601|CR70601|
workzone 11402|active|CR|SAN JOSE, MORAVIA, C.P. 11402|CR11402|
workzone 40103|active|CR|HEREDIA, HEREDIA, C.P. 40103|CR40103|
workzone 70602|active|CR|LIMON, GUACIMO, C.P. 70602|CR70602|
workzone 70603|active|CR|LIMON, GUACIMO, C.P. 70603|CR70603|
workzone 11403|active|CR|SAN JOSE, MORAVIA, C.P. 11403|CR11403|
workzone 40104|active|CR|HEREDIA, HEREDIA, C.P. 40104|CR40104|
workzone 70604|active|CR|LIMON, GUACIMO, C.P. 70604|CR70604|
workzone 70605|active|CR|LIMON, GUACIMO, C.P. 70605|CR70605|
workzone 11501|active|CR|SAN JOSE, MONTES DE OCA, C.P. 11501|CR11501|
workzone 40105|active|CR|HEREDIA, HEREDIA, C.P. 40105|CR40105|
workzone 11001|active|CR|SAN JOSE,CENTRAL, C.P.11001|CR11001|
workzone 10202|active|CR|SAN JOSE,CENTRAL, C.P.10202|CR10202|
workzone 11502|active|CR|SAN JOSE, MONTES DE OCA, C.P. 11502|CR11502|
workzone 40201|active|CR|HEREDIA, BARVA, C.P. 40201|CR40201|
workzone 11804|active|CR|SAN JOSE,CENTRAL, C.P.11804|CR11804|
workzone 10801|active|CR|SAN JOSE,CENTRAL, C.P.10801|CR10801|
workzone 11503|active|CR|SAN JOSE, MONTES DE OCA, C.P. 11503|CR11503|
workzone 40202|active|CR|HEREDIA, BARVA, C.P. 40202|CR40202|
workzone 60103|active|CR|SAN JOSE,CENTRAL, C.P.60103|CR60103|
workzone 10203|active|CR|SAN JOSE,CENTRAL, C.P.10203|CR10203|
workzone 11504|active|CR|SAN JOSE, MONTES DE OCA, C.P. 11504|CR11504|
workzone 40203|active|CR|HEREDIA, BARVA, C.P. 40203|CR40203|
workzone 11005|active|CR|SAN JOSE,CENTRAL, C.P.11005|CR11005|
workzone 10301|active|CR|SAN JOSE,CENTRAL, C.P.10301|CR10301|
workzone 11601|active|CR|SAN JOSE, TURRUBARES, C.P. 11601|CR11601|
workzone 40204|active|CR|HEREDIA, BARVA, C.P. 40204|CR40204|
workzone 11501|active|CR|SAN JOSE,CENTRAL, C.P.11501|CR11501|
workzone 11201|active|CR|SAN JOSE,CENTRAL, C.P.11201|CR11201|
workzone 11602|active|CR|SAN JOSE, TURRUBARES, C.P. 11602|CR11602|
workzone 40205|active|CR|HEREDIA, BARVA, C.P. 40205|CR40205|
workzone 11302|active|CR|SAN JOSE,CENTRAL, C.P.11302|CR11302|
workzone 40901|active|CR|SAN JOSE,CENTRAL, C.P.40901|CR40901|
workzone 11603|active|CR|SAN JOSE, TURRUBARES, C.P. 11603|CR11603|
workzone 40206|active|CR|HEREDIA, BARVA, C.P. 40206|CR40206|
workzone 30104|active|CR|SAN JOSE,CENTRAL, C.P.30104|CR30104|
workzone 61101|active|CR|SAN JOSE,CENTRAL, C.P.61101|CR61101|
workzone 11604|active|CR|SAN JOSE, TURRUBARES, C.P. 11604|CR11604|
workzone 40301|active|CR|HEREDIA, SANTO DOMINGO, C.P. 40301|CR40301|
workzone 11801|active|CR|SAN JOSE,CENTRAL, C.P.11801|CR11801|
workzone 11605|active|CR|SAN JOSE, TURRUBARES, C.P. 11605|CR11605|
workzone 10105|active|CR|SAN JOSE,CENTRAL, C.P.10105|CR10105|
workzone 40302|active|CR|HEREDIA, SANTO DOMINGO, C.P. 40302|CR40302|
workzone 60111|active|CR|SAN JOSE,CENTRAL, C.P.60111|CR60111|
workzone 11701|active|CR|SAN JOSE, DOTA, C.P. 11701|CR11701|
workzone 11502|active|CR|SAN JOSE,CENTRAL, C.P.11502|CR11502|
workzone 40303|active|CR|HEREDIA, SANTO DOMINGO, C.P. 40303|CR40303|
workzone 70603|active|CR|SAN JOSE,CENTRAL, C.P.70603|CR70603|
workzone 11702|active|CR|SAN JOSE, DOTA, C.P. 11702|CR11702|
workzone 10102|active|CR|SAN JOSE,CENTRAL, C.P.10102|CR10102|
workzone 40304|active|CR|HEREDIA, SANTO DOMINGO, C.P. 40304|CR40304|
workzone 10110|active|CR|SAN JOSE,CENTRAL, C.P.10110|CR10110|
workzone 40305|active|CR|HEREDIA, SANTO DOMINGO, C.P. 40305|CR40305|
workzone 11703|active|CR|SAN JOSE, DOTA, C.P. 11703|CR11703|
workzone 40603|active|CR|SAN JOSE,CENTRAL, C.P.40603|CR40603|
workzone 40306|active|CR|HEREDIA, SANTO DOMINGO, C.P. 40306|CR40306|
workzone 40307|active|CR|HEREDIA, SANTO DOMINGO, C.P. 40307|CR40307|
workzone 11801|active|CR|SAN JOSE, CURRIDABAT, C.P. 11801|CR11801|
workzone 10101|active|CR|SAN JOSE,CENTRAL, C.P.10101|CR10101|
workzone 40308|active|CR|HEREDIA, SANTO DOMINGO, C.P. 40308|CR40308|
