WORK_ZONE_NAME;ZIPCODE;PAIS;ESTADO;Label
CARTAGO, PARAISO, C.P. 30204;30204;CR;active;CR30204
CARTAGO, PARAISO, C.P. 30205;30205;CR;active;CR30205
CARTAGO, LA UNION, C.P. 30301;30301;CR;active;CR30301
CARTAGO, LA UNION, C.P. 30302;30302;CR;active;CR30302
CARTAGO, LA UNION, C.P. 30303;30303;CR;active;CR30303
CARTAGO, LA UNION, C.P. 30304;30304;CR;active;CR30304
CARTAGO, LA UNION, C.P. 30305;30305;CR;active;CR30305
CARTAGO, LA UNION, C.P. 30306;30306;CR;active;CR30306
CARTAGO, LA UNION, C.P. 30307;30307;CR;active;CR30307
CARTAGO, LA UNION, C.P. 30308;30308;CR;active;CR30308
CARTAGO, JIMENEZ, C.P. 30401;30401;CR;active;CR30401
CARTAGO, JIMENEZ, C.P. 30402;30402;CR;active;CR30402
CARTAGO, JIMENEZ, C.P. 30403;30403;CR;active;CR30403
CARTAGO, TURRIALBA, C.P. 30501;30501;CR;active;CR30501
CARTAGO, TURRIALBA, C.P. 30502;30502;CR;active;CR30502
CARTAGO, TURRIALBA, C.P. 30503;30503;CR;active;CR30503
CARTAGO, TURRIALBA, C.P. 30504;30504;CR;active;CR30504
CARTAGO, TURRIALBA, C.P. 30505;30505;CR;active;CR30505
CARTAGO, TURRIALBA, C.P. 30506;30506;CR;active;CR30506
CARTAGO, TURRIALBA, C.P. 30507;30507;CR;active;CR30507
CARTAGO, TURRIALBA, C.P. 30508;30508;CR;active;CR30508
CARTAGO, TURRIALBA, C.P. 30509;30509;CR;active;CR30509
CARTAGO, TURRIALBA, C.P. 30510;30510;CR;active;CR30510
CARTAGO, TURRIALBA, C.P. 30511;30511;CR;active;CR30511
CARTAGO, TURRIALBA, C.P. 30512;30512;CR;active;CR30512
CARTAGO, ALVARADO, C.P. 30601;30601;CR;active;CR30601
CARTAGO, ALVARADO, C.P. 30602;30602;CR;active;CR30602
CARTAGO, ALVARADO, C.P. 30603;30603;CR;active;CR30603
CARTAGO, OREAMUNO, C.P. 30701;30701;CR;active;CR30701
CARTAGO, OREAMUNO, C.P. 30702;30702;CR;active;CR30702
CARTAGO, OREAMUNO, C.P. 30703;30703;CR;active;CR30703
CARTAGO, OREAMUNO, C.P. 30704;30704;CR;active;CR30704
CARTAGO, OREAMUNO, C.P. 30705;30705;CR;active;CR30705
CARTAGO, EL GUARCO, C.P. 30801;30801;CR;active;CR30801
CARTAGO, EL GUARCO, C.P. 30802;30802;CR;active;CR30802
CARTAGO, EL GUARCO, C.P. 30803;30803;CR;active;CR30803
CARTAGO, EL GUARCO, C.P. 30804;30804;CR;active;CR30804
HEREDIA, HEREDIA, C.P. 40101;40101;CR;active;CR40101
HEREDIA, HEREDIA, C.P. 40102;40102;CR;active;CR40102
HEREDIA, HEREDIA, C.P. 40103;40103;CR;active;CR40103
HEREDIA, HEREDIA, C.P. 40104;40104;CR;active;CR40104
HEREDIA, HEREDIA, C.P. 40105;40105;CR;active;CR40105
HEREDIA, BARVA, C.P. 40201;40201;CR;active;CR40201
HEREDIA, BARVA, C.P. 40202;40202;CR;active;CR40202
HEREDIA, BARVA, C.P. 40203;40203;CR;active;CR40203
HEREDIA, BARVA, C.P. 40204;40204;CR;active;CR40204
HEREDIA, BARVA, C.P. 40205;40205;CR;active;CR40205
HEREDIA, BARVA, C.P. 40206;40206;CR;active;CR40206
HEREDIA, SANTO DOMINGO, C.P. 40301;40301;CR;active;CR40301
HEREDIA, SANTO DOMINGO, C.P. 40302;40302;CR;active;CR40302
HEREDIA, SANTO DOMINGO, C.P. 40303;40303;CR;active;CR40303
HEREDIA, SANTO DOMINGO, C.P. 40304;40304;CR;active;CR40304
HEREDIA, SANTO DOMINGO, C.P. 40305;40305;CR;active;CR40305
HEREDIA, SANTO DOMINGO, C.P. 40306;40306;CR;active;CR40306
HEREDIA, SANTO DOMINGO, C.P. 40307;40307;CR;active;CR40307
HEREDIA, SANTO DOMINGO, C.P. 40308;40308;CR;active;CR40308
HEREDIA, SANTA BARBARA, C.P. 40401;40401;CR;active;CR40401
HEREDIA, SANTA BARBARA, C.P. 40402;40402;CR;active;CR40402
HEREDIA, SANTA BARBARA, C.P. 40403;40403;CR;active;CR40403
HEREDIA, SANTA BARBARA, C.P. 40404;40404;CR;active;CR40404
HEREDIA, SANTA BARBARA, C.P. 40405;40405;CR;active;CR40405
HEREDIA, SANTA BARBARA, C.P. 40406;40406;CR;active;CR40406
HEREDIA, SAN RAFAEL, C.P. 40501;40501;CR;active;CR40501
HEREDIA, SAN RAFAEL, C.P. 40502;40502;CR;active;CR40502
HEREDIA, SAN RAFAEL, C.P. 40503;40503;CR;active;CR40503
HEREDIA, SAN RAFAEL, C.P. 40504;40504;CR;active;CR40504
HEREDIA, SAN RAFAEL, C.P. 40505;40505;CR;active;CR40505
HEREDIA, SAN ISIDRO, C.P. 40601;40601;CR;active;CR40601
HEREDIA, SAN ISIDRO, C.P. 40602;40602;CR;active;CR40602
HEREDIA, SAN ISIDRO, C.P. 40603;40603;CR;active;CR40603
HEREDIA, SAN ISIDRO, C.P. 40604;40604;CR;active;CR40604
HEREDIA, BELEN, C.P. 40701;40701;CR;active;CR40701
HEREDIA, BELEN, C.P. 40702;40702;CR;active;CR40702
HEREDIA, BELEN, C.P. 40703;40703;CR;active;CR40703
HEREDIA, FLORES, C.P. 40801;40801;CR;active;CR40801
HEREDIA, FLORES, C.P. 40802;40802;CR;active;CR40802
HEREDIA, FLORES, C.P. 40803;40803;CR;active;CR40803
HEREDIA, SAN PABLO, C.P. 40901;40901;CR;active;CR40901
HEREDIA, SAN PABLO, C.P. 40902;40902;CR;active;CR40902
HEREDIA, SARAPIQUI, C.P. 41001;41001;CR;active;CR41001
HEREDIA, SARAPIQUI, C.P. 41002;41002;CR;active;CR41002
HEREDIA, SARAPIQUI, C.P. 41003;41003;CR;active;CR41003
HEREDIA, SARAPIQUI, C.P. 41004;41004;CR;active;CR41004
HEREDIA, SARAPIQUI, C.P. 41005;41005;CR;active;CR41005
GUANACASTE, LIBERIA, C.P. 50101;50101;CR;active;CR50101
GUANACASTE, LIBERIA, C.P. 50102;50102;CR;active;CR50102
GUANACASTE, LIBERIA, C.P. 50103;50103;CR;active;CR50103
GUANACASTE, LIBERIA, C.P. 50104;50104;CR;active;CR50104
GUANACASTE, LIBERIA, C.P. 50105;50105;CR;active;CR50105
GUANACASTE, NICOYA, C.P. 50201;50201;CR;active;CR50201
GUANACASTE, NICOYA, C.P. 50202;50202;CR;active;CR50202
GUANACASTE, NICOYA, C.P. 50203;50203;CR;active;CR50203
GUANACASTE, NICOYA, C.P. 50204;50204;CR;active;CR50204
GUANACASTE, NICOYA, C.P. 50205;50205;CR;active;CR50205
GUANACASTE, NICOYA, C.P. 50206;50206;CR;active;CR50206
GUANACASTE, NICOYA, C.P. 50207;50207;CR;active;CR50207
GUANACASTE, SANTA CRUZ, C.P. 50301;50301;CR;active;CR50301
GUANACASTE, SANTA CRUZ, C.P. 50302;50302;CR;active;CR50302
GUANACASTE, SANTA CRUZ, C.P. 50303;50303;CR;active;CR50303
GUANACASTE, SANTA CRUZ, C.P. 50304;50304;CR;active;CR50304
GUANACASTE, SANTA CRUZ, C.P. 50305;50305;CR;active;CR50305
GUANACASTE, SANTA CRUZ, C.P. 50306;50306;CR;active;CR50306
GUANACASTE, SANTA CRUZ, C.P. 50307;50307;CR;active;CR50307
GUANACASTE, SANTA CRUZ, C.P. 50308;50308;CR;active;CR50308
GUANACASTE, SANTA CRUZ, C.P. 50309;50309;CR;active;CR50309
GUANACASTE, BAGACES, C.P. 50401;50401;CR;active;CR50401
GUANACASTE, BAGACES, C.P. 50402;50402;CR;active;CR50402
GUANACASTE, BAGACES, C.P. 50403;50403;CR;active;CR50403
GUANACASTE, BAGACES, C.P. 50404;50404;CR;active;CR50404
GUANACASTE, CARRILLO, C.P. 50501;50501;CR;active;CR50501
GUANACASTE, CARRILLO, C.P. 50502;50502;CR;active;CR50502
GUANACASTE, CARRILLO, C.P. 50503;50503;CR;active;CR50503
GUANACASTE, CARRILLO, C.P. 50504;50504;CR;active;CR50504
GUANACASTE, CAÑAS, C.P. 50601;50601;CR;active;CR50601
GUANACASTE, CAÑAS, C.P. 50602;50602;CR;active;CR50602
GUANACASTE, CAÑAS, C.P. 50603;50603;CR;active;CR50603
GUANACASTE, CAÑAS, C.P. 50604;50604;CR;active;CR50604
GUANACASTE, CAÑAS, C.P. 50605;50605;CR;active;CR50605
GUANACASTE, ABANGARES, C.P. 50701;50701;CR;active;CR50701
GUANACASTE, ABANGARES, C.P. 50702;50702;CR;active;CR50702
GUANACASTE, ABANGARES, C.P. 50703;50703;CR;active;CR50703
GUANACASTE, ABANGARES, C.P. 50704;50704;CR;active;CR50704
GUANACASTE, TILARAN, C.P. 50801;50801;CR;active;CR50801
GUANACASTE, TILARAN, C.P. 50802;50802;CR;active;CR50802
GUANACASTE, TILARAN, C.P. 50803;50803;CR;active;CR50803
GUANACASTE, TILARAN, C.P. 50804;50804;CR;active;CR50804
GUANACASTE, TILARAN, C.P. 50805;50805;CR;active;CR50805
GUANACASTE, TILARAN, C.P. 50806;50806;CR;active;CR50806
GUANACASTE, TILARAN, C.P. 50807;50807;CR;active;CR50807
GUANACASTE, NANDAYURE, C.P. 50901;50901;CR;active;CR50901
GUANACASTE, NANDAYURE, C.P. 50902;50902;CR;active;CR50902
GUANACASTE, NANDAYURE, C.P. 50903;50903;CR;active;CR50903
GUANACASTE, NANDAYURE, C.P. 50904;50904;CR;active;CR50904
GUANACASTE, NANDAYURE, C.P. 50905;50905;CR;active;CR50905
